,count
"(-74.00754375953517, 40.71543282477928, -74.00709728867825, 40.71599826553854)",4050
"(-74.00754375953517, 40.71543282477928, -74.00588849692078, 40.71467728512662)",4036
"(-74.00678194883704, 40.713606152648495, -74.00491287858394, 40.712672325397044)",7868
"(-74.01162676877026, 40.71660204947513, -74.01255984895938, 40.71703378208044)",3725
"(-74.01162676877026, 40.71660204947513, -74.01096713674983, 40.71630300074951)",3725
"(-74.01255984895938, 40.71703378208044, -74.012730669702, 40.71711362865667)",3725
"(-74.01096713674983, 40.71630300074951, -74.01083359755593, 40.71692527490199)",3725
"(-74.01083359755593, 40.71692527490199, -74.00920540202151, 40.7161879528297)",3796
"(-74.012730669702, 40.71711362865667, -74.01286663159229, 40.71717610083638)",3725
"(-74.01286663159229, 40.71717610083638, -74.01303586691387, 40.71725475936276)",3725
"(-74.01182595270626, 40.71592240514975, -74.01292127784262, 40.71639821606639)",8234
"(-74.01182595270626, 40.71592240514975, -74.01152724063745, 40.7157834966242)",8234
"(-74.01292127784262, 40.71639821606639, -74.01307935595352, 40.7164671502788)",8234
"(-74.01307935595352, 40.7164671502788, -74.01320779418627, 40.71652226484699)",8234
"(-74.00491287858394, 40.712672325397044, -74.00485768104453, 40.71245254101437)",7868
"(-74.01012319327008, 40.71514594760646, -74.01051330984805, 40.71532259906578)",8234
"(-74.01051330984805, 40.71532259906578, -74.0107283760342, 40.71541962361599)",8234
"(-74.0107283760342, 40.71541962361599, -74.01082257694652, 40.715462120684975)",8234
"(-74.01082257694652, 40.715462120684975, -74.01111845036542, 40.715593396792784)",8234
"(-74.01111845036542, 40.715593396792784, -74.01144557163929, 40.71574551854923)",8234
"(-74.01152724063745, 40.7157834966242, -74.01144557163929, 40.71574551854923)",8234
"(-74.00709728867825, 40.71599826553854, -74.00667419325323, 40.7165320772544)",4050
"(-74.00588849692078, 40.71467728512662, -74.00446683755874, 40.71402247088709)",4205
"(-74.0083783130103, 40.71658749130448, -74.00795703382731, 40.71712230712739)",2761
"(-74.00795703382731, 40.71712230712739, -74.00753594008073, 40.71766123668862)",2761
"(-74.00753594008073, 40.71766123668862, -74.00727575293564, 40.71798799446906)",2761
"(-74.00667419325323, 40.7165320772544, -74.00624902081256, 40.71707571205471)",4050
"(-74.00705196296926, 40.718269039539344, -74.00659361249828, 40.71886217854018)",2482
"(-74.00705196296926, 40.718269039539344, -74.00708949341329, 40.71837251482998)",3309
"(-74.00705196296926, 40.718269039539344, -74.00727575293564, 40.71798799446906)",2761
"(-74.00659361249828, 40.71886217854018, -74.00643194990256, 40.71908199313383)",2482
"(-74.00624902081256, 40.71707571205471, -74.00577729818417, 40.717676647042055)",4050
"(-74.00577729818417, 40.717676647042055, -74.00532369738004, 40.71827334681468)",4223
"(-74.00532369738004, 40.71827334681468, -74.00517420306618, 40.71900459467345)",4223
"(-74.00517420306618, 40.71900459467345, -74.005186161411, 40.71983746663694)",4223
"(-74.00693633859052, 40.71912665525289, -74.00680843778001, 40.71977749823327)",3309
"(-74.00693633859052, 40.71912665525289, -74.00708949341329, 40.71837251482998)",3309
"(-74.00680843778001, 40.71977749823327, -74.00669456196263, 40.720437209319634)",3309
"(-74.00669456196263, 40.720437209319634, -74.00657742256261, 40.721127488219125)",3309
"(-74.005186161411, 40.71983746663694, -74.00520848735724, 40.720628644440986)",4223
"(-74.00520848735724, 40.720628644440986, -74.00463516281553, 40.721353632309345)",4223
"(-74.00463516281553, 40.721353632309345, -74.00376737304171, 40.72238412599488)",4223
"(-74.00652351211507, 40.72141561022337, -74.00642481520933, 40.721805364401355)",3309
"(-74.00652351211507, 40.72141561022337, -74.00657742256261, 40.721127488219125)",3309
"(-74.00642481520933, 40.721805364401355, -74.00631887535819, 40.72242745661163)",3309
"(-74.00631887535819, 40.72242745661163, -74.00629841745501, 40.72254950287386)",3309
"(-74.00629841745501, 40.72254950287386, -74.0062328748081, 40.72312064550892)",4596
"(-74.0062328748081, 40.72312064550892, -74.0052721270629, 40.72301790036754)",4596
"(-74.00376737304171, 40.72238412599488, -74.00297103188355, 40.7219947879202)",934
"(-74.00376737304171, 40.72238412599488, -74.00298147088617, 40.72330841384091)",4464
"(-74.00376737304171, 40.72238412599488, -74.00444777107114, 40.72271765130789)",457
"(-74.006090317832, 40.709912582744785, -74.00585977028695, 40.71013970356433)",5596
"(-74.00514773155669, 40.70942552436767, -74.00482608111385, 40.70966067972711)",2281
"(-74.00482608111385, 40.70966067972711, -74.00425299960867, 40.71016624015652)",2281
"(-74.00425299960867, 40.71016624015652, -74.00397461183513, 40.71039317614649)",1129
"(-74.00425299960867, 40.71016624015652, -74.00509364641408, 40.71097736639177)",2230
"(-74.00509364641408, 40.71097736639177, -74.00532769155686, 40.711192604892)",2230
"(-74.00166466889307, 40.70952276284882, -74.00086011092448, 40.70879094708071)",1422
"(-74.00166466889307, 40.70952276284882, -74.0021095272071, 40.7098939128514)",1422
"(-74.00086011092448, 40.70879094708071, -74.00048354074374, 40.70835086230689)",1422
"(-74.00048354074374, 40.70835086230689, -74.00013109236015, 40.707913267064804)",1422
"(-74.00397461183513, 40.71039317614649, -74.00365813496039, 40.71091309026856)",1129
"(-74.00365813496039, 40.71091309026856, -74.00364239772288, 40.710973587083494)",1129
"(-74.00013109236015, 40.707913267064804, -74.00011721391424, 40.70789507405272)",1422
"(-74.00391102147437, 40.71117478840158, -74.00427373271157, 40.711402624542124)",293
