id,date,lat,lon
3125.09,202103,40.645282,-73.974169
3125.09,202105,40.644718,-73.974514
3125.09,202105,40.644719,-73.974515
3125.09,202105,40.64471895763575,-73.97451460361481
3126,201508,40.74718234,-73.9432635
3126,202001,40.746,-73.944
3127,201508,40.74966,-73.9521
3128,201508,40.75052534,-73.94594845
3129,201508,40.75110165,-73.94073717
3129,202006,40.752,-73.941
3129.08,202103,40.643371,-74.011884
313,201310,40.69610226,-73.96751037
3130,201508,40.75325964,-73.94335788
3131,201604,40.76712840349542,-73.96224617958069
3132,201509,40.76350532,-73.97109243
3132,202001,40.764,-73.971
3133,201508,40.76735637,-73.96493528
3133,201509,40.76734259143217,-73.9648586511612
3134,201509,40.76312584,-73.96526895
3135,201509,40.77112927,-73.95772297
3135.04,202103,40.644367,-73.984276
3136,201509,40.76650452,-73.97147595
3136,201701,40.766368,-73.971518
3136,202004,40.767,-73.971
3137,201509,40.77282817,-73.96685276
3137,202004,40.773,-73.968
3138,201512,40.774405455003,-73.96175265312193
3138.09,202102,40.644512,-74.021506
3139,201509,40.77122923,-73.96432627
3139,201511,40.77118287540658,-73.96409422159195
3139,202003,40.77,-73.965
314,201310,40.69424674,-73.99215922
314,201403,40.69383,-73.990539
3140,201509,40.77140426,-73.9535166
3140,202002,40.77,-73.953
3141,201509,40.76500525,-73.95818491
3141,202006,40.764,-73.959
3142,201509,40.7612274,-73.96094022
3142,201912,40.761,-73.962
3143,201510,40.77682863439968,-73.96388769149779
3143,201704,40.77632142182271,-73.96427392959595
3143,202004,40.776,-73.965
3144,201509,40.77677702,-73.9590097
3145,201509,40.77862688,-73.95772073
3145,202004,40.779,-73.959
3146,201509,40.77573034,-73.9567526
3147,201509,40.77801203,-73.95407149
3147,202002,40.779,-73.953
3148,201509,40.77565541,-73.95068615
3148,202006,40.776,-73.95
3149,201509,40.77517793,-73.95324922
315,201310,40.70355377,-74.00670227
3150,201509,40.77536905,-73.94803392
3151,201511,40.7728384,-73.94989233
3151,202002,40.773,-73.95
3152,201606,40.76873687,-73.96119945
3153,201512,40.76817546742245,-73.95910263061523
3154,201511,40.77314236,-73.95856158
3155,201510,40.76440023,-73.96648977
3156,201509,40.76663814,-73.95348296
3156,202002,40.767,-73.953
3157,201510,40.77518615,-73.94446054
3157,202002,40.776,-73.944
3158,201508,40.77163851,-73.98261428
3158,202002,40.773,-73.983
3159,201509,40.77492513,-73.98266566
3159,202005,40.776,-73.983
316,201310,40.70955958,-74.00653609
316,201912,40.71,-74.007
3160,201509,40.77896784,-73.97374737
3161,201510,40.7801839724239,-73.97728532552719
3161,202002,40.779,-73.977
3161.02,202102,40.645921,-74.005708
3162,201510,40.78339981,-73.98093133
3163,201509,40.7734066,-73.97782542
3164,201508,40.7770575,-73.97898475
3164,202006,40.776,-73.98
3165,201508,40.77575319,-73.97603963
3165,201510,40.77579376683666,-73.9762057363987
3166,201509,40.78057799010334,-73.98562431335449
3166,202001,40.782,-73.986
3166.03,202103,40.645074,-73.979681
3167,201509,40.77966809007312,-73.98093044757842
3167,202002,40.779,-73.98
3168,201510,40.78472675,-73.96961715
3168,202004,40.785,-73.971
3169,201509,40.78720869,-73.98128127
3169.07,202103,40.644862,-74.014531
317,201310,40.72453734,-73.98185424
3170,201509,40.78499979,-73.97283406
3171,201510,40.78524672,-73.97667321
3172,201509,40.7785669,-73.97754961
3173,201510,40.777507027547976,-73.98888587951659
3173,202003,40.779,-73.989
3175,201509,40.77748046,-73.98288594
3175,201912,40.776,-73.983
3176,201509,40.77452835,-73.98753759
3177,201509,40.7867947,-73.977112
3178,201509,40.78414472,-73.98362492
3178,202005,40.785,-73.983
3178.02,202102,40.646377,-74.023087
3179,201508,40.698617,-73.941342
318,201310,40.75320159,-73.9779874
3180,201507,40.69878,-73.99712
3181,201508,40.692609,-74.016398
3182,201508,40.686931,-74.016966
3183,201511,40.7162469,-74.0334588
3184,201511,40.7141454,-74.0335519
3185,201603,40.7177325,-74.043845
3186,201601,40.7192789,-74.0424515
3186,201607,40.71946109443547,-74.04294312000275
3186,201706,40.71958611647166,-74.04311746358871
3187,201510,40.7211236,-74.03805095
3188,201709,40.7101087,-74.0858489
319,201310,40.71336124,-74.00937622
319,201508,40.711066,-74.009447
319,202003,40.71,-74.01
3191,201606,40.7182113,-74.0836394
3192,201606,40.7112423,-74.0557013
3192.05,202103,40.647379,-74.000911
3194,202007,40.7253399253558,-74.06762212514877
3195,201805,40.73074262530658,-74.06378388404846
3195,201904,40.73089709786179,-74.06391263008118
3196,201606,40.7443187,-74.0439909
3197,201610,40.752559,-74.044725
3197,201709,40.71925170740989,-74.03423398733139
3198,201604,40.7485362,-74.0403131
3198,201608,40.74871594538023,-74.04044330120087
3199,201608,40.7287448,-74.0321082
3199.01,202103,40.647718,-73.973663
320,201310,40.71743998,-74.00583475
320,201403,40.717571,-74.005549
320,202003,40.719,-74.007
3201,201707,40.737711,-74.066921
3202,201603,40.7272235,-74.0337589
3202.06,202103,40.646351,-74.009271
3203,201708,40.727595966,-74.044247311
3205,201704,40.71653978099194,-74.0496379137039
3206,201604,40.7311689,-74.0575736
3208.07,202103,40.646037,-73.980963
3209,201710,40.7241765,-74.0506564
321,201310,40.69991755,-73.98971773
3210,201906,40.742677141,-74.051788633
3211,201510,40.72152515,-74.046304543
3211.06,202103,40.64744,-74.018846
3212,201511,40.734785818,-74.050443636
3213,201602,40.71848892,-74.047726625
3214,201510,40.7127742,-74.0364857
3215,201710,0.0,0.0
3219,201510,40.729193,-73.976655
322,201310,40.696192,-73.991218
3220,201603,40.73496102000952,-74.0595030784607
3220.01,202110,40.646475,-74.026081
3221,201509,40.743,-73.93561
3222,201508,40.685159599891776,-73.97711366415024
3223,201508,40.75899655960512,-73.96865397691727
3224,201508,40.73997354103409,-74.00513872504234
3225,201605,40.7236589,-74.0641943
3226,201509,40.78275,-73.97137
3229,201510,40.68061768455451,-73.94624948501587
323,201310,40.69236178,-73.98631746
323,202002,40.692,-73.986
3230,201509,40.751283596962296,-73.99692445993422
3230.01,202103,40.648481,-73.97058
3231,201509,40.76780080148132,-73.96592080593109
3231,202004,40.767,-73.965
3232,201509,40.68962188790333,-73.98304268717766
3233,201510,40.75724567911726,-73.97805914282799
3233,201912,40.758,-73.977
3233.06,202102,40.647105,-74.004483
3234,201510,40.75159368451112,-73.98043155670166
3235,201510,40.752165280621966,-73.97992193698882
3236,201511,40.75898481399634,-73.99379968643188
3236,202002,40.758,-73.995
3237,201510,40.75383343437622,-73.94267678260802
3238,201512,40.77391390238118,-73.9543953537941
3239,201612,40.64653836709648,-74.01658773422241
324,201310,40.689888,-73.981013
3240,201601,0.0,0.0
3240,201701,40.759030082196055,-73.99385869503021
3240.15,202103,40.649037,-73.97673
3241,201512,40.686203,-73.944694
3242,201512,40.69102925677968,-73.99183362722397
3242,202001,40.692,-73.992
3243,201601,40.75892386377695,-73.96226227283478
3243.02,202103,40.649143,-74.012384
3244,201601,40.73143724085228,-73.99490341544151
3244,202002,40.731,-73.995
3245,201607,40.64667789889786,-74.01630342006683
3245,201704,40.65594917783975,-74.00835871696472
3245,201708,40.71644423134479,-73.9823305606842
3246,201603,40.694281141397326,-73.99230033159256
3246,202002,40.695,-73.992
3247,201607,0.0,0.0
3248,201706,0.0,0.0
3249,201604,40.6803560840434,-73.9476791024208
325,201310,40.73624527,-73.98473765
3250,201604,40.71690978045965,-73.98383796215057
3252,201605,40.67534953067412,-74.01002034544945
3253,201605,40.67280641227746,-73.96886587142944
3253.01,202103,40.649292,-74.020105
3254,201605,40.69231660719192,-74.01486575603485
3255,201605,40.7505853470215,-73.9946848154068
3255,202003,40.752,-73.995
3256,201606,40.7277140777778,-74.01129573583603
3257,201606,40.77376867022874,-73.97116988897324
3258,201607,40.75018156325683,-74.00218427181244
3259,201606,40.74937024193277,-73.99923384189606
3259,202003,40.749,-73.998
326,201310,40.72953837,-73.98426726
3260,201606,40.72706363348306,-73.99662137031554
3263,201607,40.72923649910006,-73.99086803197861
3263,201710,40.72951496224949,-73.99075269699097
3263,202001,40.731,-73.992
3264,201607,40.76421007169064,-73.96910458803177
3265,201607,40.7245634290432,-73.9894437789917
3266,201607,40.70861098096821,-73.92850399017334
3266.01,202103,40.648169,-74.000057
3267,201609,40.7124188237569,-74.03852552175522
3268,201710,40.71346382669195,-74.06285852193832
327,201310,40.7153379,-74.01658354
327,201912,40.716,-74.016
3270,201710,40.72528910781132,-74.04557168483734
3272,201705,40.72333158646436,-74.04595255851744
3272.01,202103,40.648055,-73.972432
3273,201706,40.72165072487999,-74.04288411140442
3275,201611,40.71835519823214,-74.03891444206238
3275.03,202104,40.649145,-74.009486
3276,201609,40.71482450419276,-74.04298067092896
3276,201610,40.71458403535893,-74.04281705617905
3277,201711,40.71435836870427,-74.06661093235016
3278,201711,40.72568548362901,-74.04879033565521
3279,201608,40.721630142638354,-74.04996782541275
328,201310,40.72405549,-74.00965965
3280,201710,40.71928220070702,-74.07126188278198
3280.04,202103,40.648005,-73.979342
3281,201710,40.74590996631558,-74.0572714805603
3282,201608,40.78307,-73.95939
3282,202004,40.782,-73.959
3283,201609,40.7882213,-73.97041561
3283.05,202102,40.650176,-74.015606
3284,201608,40.781410700190015,-73.95595908164978
3285,201608,40.78839,-73.9747
3286,201608,40.7806284,-73.9521667
3286,202004,40.782,-73.953
3287,201608,40.790261,-73.977131
3287,201908,40.789622,-73.97757
3288,201608,40.778301,-73.9488134
3288,202006,40.779,-73.95
3289,201608,40.79017948095081,-73.97288918495178
3289,202006,40.791,-73.974
329,201310,40.72043411,-74.01020609
329,201607,40.72015227023285,-74.01036500930786
3290,201608,40.7779453,-73.946041
3290,202002,40.779,-73.947
3291,201608,40.7933718,-73.97685115
3292,201608,40.7857851,-73.957481
3293,201609,40.7921,-73.9739
3294,201608,40.7835016,-73.955327
3295,201608,40.79127,-73.964839
3295,202001,40.791,-73.965
3296,201708,40.782454175279874,-73.9489196240902
3297,201608,40.6686627,-73.97988067
3298,201608,40.686371,-73.99383324
3299,201803,40.78813,-73.95206
330,201310,40.71450451,-74.00562789
3300,201608,40.66514681533792,-73.97637605667114
3300,202002,40.665,-73.977
3301,201608,40.7919557,-73.968087
3301,202001,40.791,-73.968
3302,201608,40.7969347,-73.9643412291
3303,201608,40.6849894,-73.99440329
3303.01,202103,40.649681,-73.967829
3304,201608,40.668127,-73.98377641
3305,201608,40.78112229934166,-73.94965589046478
3305,201912,40.782,-73.95
3306,201608,40.6662078,-73.98199886
3306.03,202102,40.649983,-74.005144
3307,201608,40.7941654,-73.974124
3307,202002,40.794,-73.974
3308,201608,40.6861758,-73.99645295
3309,201608,40.7859201,-73.94860294
331,201310,40.71173107,-73.99193043
331,202003,40.713,-73.992
3310,201608,40.663779,-73.98396846
3311,201608,40.68763155,-74.0016256
3311,202003,40.689,-74.001
3312,201608,40.7817212,-73.94594
3312,202006,40.782,-73.947
3312.07,202110,40.651745,-73.975988
3313,201608,40.6663181,-73.9854617
3314,201608,40.7937704,-73.971888
3314,202006,40.794,-73.971
3315,201608,40.6847514,-73.99917254
3315.05,202103,40.651173,-74.011405
3316,201608,40.7989937,-73.9662173778
3317,201608,40.6686273,-73.98700053
3318,201702,40.7839636,-73.9471673
3319,201609,40.666287,-73.98895053
3319,202006,40.665,-73.989
332,201310,40.71219906,-73.97948148
332,202003,40.713,-73.98
3320,201608,40.793393,-73.9635556
3320,201801,40.79406660818552,-73.96286845207214
3320,202002,40.794,-73.962
3321,201608,40.6831164,-73.99785267
3322,201608,40.668603,-73.9904394
3322,202003,40.668,-73.989
3323,201608,40.7981856,-73.9605909006
3324,201608,40.6685455,-73.99333264
3325,201608,40.7849032,-73.950503
3326,201608,40.67434,-74.00194698
3327,201608,40.7877214,-73.94728331
3328,201609,40.795,-73.9645
3328,202005,40.794,-73.965
3329,201608,40.6829151,-73.99318208
3330,201608,40.6725058,-74.00494695
3331,201608,40.8013434,-73.9711457439
3332,201609,40.68199044270703,-73.99079024791718
3333,201608,40.6747055,-74.0075572
3335,201608,40.6772744,-73.98282002
3336,201608,40.787801,-73.953559
3336,202006,40.788,-73.953
3337,201702,40.67363551341504,-74.01195555925369
3338,201609,40.7862586,-73.94552579
3339,201608,40.6765304,-73.97846879
334,201310,40.74238787,-73.99726235
334,202001,40.743,-73.998
3340,201608,40.6753274,-74.0100698
3341,201608,40.795346,-73.96186
